Raw_API,Full_API,Description
tf.ragged.constant,"tf.ragged.constant([[[0, 1]], [[1, 2], [3, 4]]], ragged_rank=1).shape","Represents a ragged tensor.View aliasesUsed in the notebooksA RaggedTensor is a tensor with one or more ragged dimensions, which aredimensions whose slices may have different lengths.  For example, the inner(column) dimension of rt=[[3, 1, 4, 1], [], [5, 9, 2], [6], []] is ragged,since the column slices (rt[0, :], ..., rt[4, :]) have different lengths.Dimensions whose slices all have the same length are called uniformdimensions.  The outermost dimension of a RaggedTensor is always uniform,since it consists of a single slice (and so there is no possibility fordiffering slice lengths).The total number of dimensions in a RaggedTensor is called its rank,and the number of ragged dimensions in a RaggedTensor is called itsragged-rank.  A RaggedTensor's ragged-rank is fixed at graph creationtime: it can't depend on the runtime values of Tensors, and can't varydynamically for different session runs.Note that the __init__ constructor is private. Please use one of thefollowing methods to construct a RaggedTensor:tf.RaggedTensor.from_row_lengthstf.RaggedTensor.from_value_rowidstf.RaggedTensor.from_row_splitstf.RaggedTensor.from_row_startstf.RaggedTensor.from_row_limitstf.RaggedTensor.from_nested_row_splitstf.RaggedTensor.from_nested_row_lengthstf.RaggedTensor.from_nested_value_rowidsPotentially Ragged TensorsMany ops support both Tensors and RaggedTensors(see tf.ragged for afull listing). The term ""potentially ragged tensor"" may be used to refer to atensor that might be either a Tensor or a RaggedTensor.  The ragged-rankof a Tensor is zero.Documenting RaggedTensor ShapesWhen documenting the shape of a RaggedTensor, ragged dimensions can beindicated by enclosing them in parentheses.  For example, the shape ofa 3-D RaggedTensor that stores the fixed-size word embedding for eachword in a sentence, for each sentence in a batch, could be written as[num_sentences, (num_words), embedding_size].  The parentheses around(num_words) indicate that dimension is ragged, and that the lengthof each element list in that dimension may vary for each item.Component TensorsInternally, a RaggedTensor consists of a concatenated list of values thatare partitioned into variable-length rows.  In particular, each RaggedTensorconsists of:A A Example:print(tf.RaggedTensor.from_row_splits(      values=[3, 1, 4, 1, 5, 9, 2, 6],      row_splits=[0, 4, 4, 7, 8, 8]))<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>Alternative Row-Partitioning SchemesIn addition to row_splits, ragged tensors provide support for five otherrow-partitioning schemes:row_lengthsvalue_rowidsrow_startsrow_limitsuniform_row_lengthExample: The following ragged tensors are equivalent, and all represent thenested list [[3, 1, 4, 1], [], [5, 9, 2], [6], []].values = [3, 1, 4, 1, 5, 9, 2, 6]RaggedTensor.from_row_splits(values, row_splits=[0, 4, 4, 7, 8, 8])<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>RaggedTensor.from_row_lengths(values, row_lengths=[4, 0, 3, 1, 0])<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>RaggedTensor.from_value_rowids(    values, value_rowids=[0, 0, 0, 0, 2, 2, 2, 3], nrows=5)<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>RaggedTensor.from_row_starts(values, row_starts=[0, 4, 4, 7, 8])<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>RaggedTensor.from_row_limits(values, row_limits=[4, 4, 7, 8, 8])<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>RaggedTensor.from_uniform_row_length(values, uniform_row_length=2)<tf.RaggedTensor [[3, 1], [4, 1], [5, 9], [2, 6]]>Multiple Ragged DimensionsRaggedTensors with multiple ragged dimensions can be defined by usinga nested RaggedTensor for the values tensor.  Each nested RaggedTensoradds a single ragged dimension.inner_rt = RaggedTensor.from_row_splits(  # =rt1 from above    values=[3, 1, 4, 1, 5, 9, 2, 6], row_splits=[0, 4, 4, 7, 8, 8])outer_rt = RaggedTensor.from_row_splits(    values=inner_rt, row_splits=[0, 3, 3, 5])print(outer_rt.to_list())[[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]]print(outer_rt.ragged_rank)2The factory function RaggedTensor.from_nested_row_splits may be used toconstruct a RaggedTensor with multiple ragged dimensions directly, byproviding a list of row_splits tensors:RaggedTensor.from_nested_row_splits(    flat_values=[3, 1, 4, 1, 5, 9, 2, 6],    nested_row_splits=([0, 3, 3, 5], [0, 4, 4, 7, 8, 8])).to_list()[[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]]Uniform Inner DimensionsRaggedTensors with uniform inner dimensions can be definedby using a multidimensional Tensor for values.rt = RaggedTensor.from_row_splits(values=tf.ones([5, 3], tf.int32),                                  row_splits=[0, 2, 5])print(rt.to_list())[[[1, 1, 1], [1, 1, 1]], [[1, 1, 1], [1, 1, 1], [1, 1, 1]]]print(rt.shape)(2, None, 3)Uniform Outer DimensionsRaggedTensors with uniform outer dimensions can be defined by usingone or more RaggedTensor with a uniform_row_length row-partitioningtensor.  For example, a RaggedTensor with shape [2, 2, None] can beconstructed with this method from a RaggedTensor values with shape[4, None]:values = tf.ragged.constant([[1, 2, 3], [4], [5, 6], [7, 8, 9, 10]])print(values.shape)(4, None)rt6 = tf.RaggedTensor.from_uniform_row_length(values, 2)print(rt6)<tf.RaggedTensor [[[1, 2, 3], [4]], [[5, 6], [7, 8, 9, 10]]]>print(rt6.shape)(2, 2, None)Note that rt6 only contains one ragged dimension (the innermostdimension). In contrast, if from_row_splits is used to construct a similarRaggedTensor, then that RaggedTensor will have two ragged dimensions:rt7 = tf.RaggedTensor.from_row_splits(values, [0, 2, 4])print(rt7.shape)(2, None, None)Uniform and ragged outer dimensions may be interleaved, meaning that atensor with any combination of ragged and uniform dimensions may be created.For example, a RaggedTensor t4 with shape [3, None, 4, 8, None, 2] couldbe constructed as follows:t0 = tf.zeros([1000, 2])                           # Shape:         [1000, 2]t1 = RaggedTensor.from_row_lengths(t0, [...])      #           [160, None, 2]t2 = RaggedTensor.from_uniform_row_length(t1, 8)   #         [20, 8, None, 2]t3 = RaggedTensor.from_uniform_row_length(t2, 4)   #       [5, 4, 8, None, 2]t4 = RaggedTensor.from_row_lengths(t3, [...])      # [3, None, 4, 8, None, 2]Concretely, if rt.values is a Tensor, then rt.flat_values isrt.values; otherwise, rt.flat_values is rt.values.flat_values.Conceptually, flat_values is the tensor formed by flattening theoutermost dimension and all of the ragged dimensions into a singledimension.rt.flat_values.shape = [nvals] + rt.shape[rt.ragged_rank + 1:](where nvals is the number of items in the flattened dimensions).Example:rt = tf.ragged.constant([[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]])print(rt.flat_values)tf.Tensor([3 1 4 1 5 9 2 6], shape=(8,), dtype=int32)rt.nested_row_splits is a tuple containing the row_splits tensors forall ragged dimensions in rt, ordered from outermost to innermost.  Inparticular, rt.nested_row_splits = (rt.row_splits,) + value_splits where:* `value_splits = ()` if `rt.values` is a `Tensor`.* `value_splits = rt.values.nested_row_splits` otherwise.Example:rt = tf.ragged.constant(    [[[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]]])for i, splits in enumerate(rt.nested_row_splits):  print('Splits for dimension %d: %s' % (i+1, splits.numpy()))Splits for dimension 1: [0 3]Splits for dimension 2: [0 3 3 5]Splits for dimension 3: [0 4 4 7 8 8]values = tf.ragged.constant([[1, 2, 3], [4], [5, 6], [7, 8, 9, 10]])values.ragged_rank1rt = tf.RaggedTensor.from_uniform_row_length(values, 2)rt.ragged_rank2rt.row_splits specifies where the values for each row begin and end inrt.values.  In particular, the values for row rt[i] are stored inthe slice rt.values[rt.row_splits[i]:rt.row_splits[i+1]].Example:rt = tf.ragged.constant([[3, 1, 4, 1], [], [5, 9, 2], [6], []])print(rt.row_splits)  # indices of row splits in rt.valuestf.Tensor([0 4 4 7 8 8], shape=(6,), dtype=int64)tf.ragged.constant([[0], [1, 2]]).shapeTensorShape([2, None])"
tf.ragged.constant,tf.ragged.constant(,"Represents a ragged tensor.View aliasesUsed in the notebooksA RaggedTensor is a tensor with one or more ragged dimensions, which aredimensions whose slices may have different lengths.  For example, the inner(column) dimension of rt=[[3, 1, 4, 1], [], [5, 9, 2], [6], []] is ragged,since the column slices (rt[0, :], ..., rt[4, :]) have different lengths.Dimensions whose slices all have the same length are called uniformdimensions.  The outermost dimension of a RaggedTensor is always uniform,since it consists of a single slice (and so there is no possibility fordiffering slice lengths).The total number of dimensions in a RaggedTensor is called its rank,and the number of ragged dimensions in a RaggedTensor is called itsragged-rank.  A RaggedTensor's ragged-rank is fixed at graph creationtime: it can't depend on the runtime values of Tensors, and can't varydynamically for different session runs.Note that the __init__ constructor is private. Please use one of thefollowing methods to construct a RaggedTensor:tf.RaggedTensor.from_row_lengthstf.RaggedTensor.from_value_rowidstf.RaggedTensor.from_row_splitstf.RaggedTensor.from_row_startstf.RaggedTensor.from_row_limitstf.RaggedTensor.from_nested_row_splitstf.RaggedTensor.from_nested_row_lengthstf.RaggedTensor.from_nested_value_rowidsPotentially Ragged TensorsMany ops support both Tensors and RaggedTensors(see tf.ragged for afull listing). The term ""potentially ragged tensor"" may be used to refer to atensor that might be either a Tensor or a RaggedTensor.  The ragged-rankof a Tensor is zero.Documenting RaggedTensor ShapesWhen documenting the shape of a RaggedTensor, ragged dimensions can beindicated by enclosing them in parentheses.  For example, the shape ofa 3-D RaggedTensor that stores the fixed-size word embedding for eachword in a sentence, for each sentence in a batch, could be written as[num_sentences, (num_words), embedding_size].  The parentheses around(num_words) indicate that dimension is ragged, and that the lengthof each element list in that dimension may vary for each item.Component TensorsInternally, a RaggedTensor consists of a concatenated list of values thatare partitioned into variable-length rows.  In particular, each RaggedTensorconsists of:A A Example:print(tf.RaggedTensor.from_row_splits(      values=[3, 1, 4, 1, 5, 9, 2, 6],      row_splits=[0, 4, 4, 7, 8, 8]))<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>Alternative Row-Partitioning SchemesIn addition to row_splits, ragged tensors provide support for five otherrow-partitioning schemes:row_lengthsvalue_rowidsrow_startsrow_limitsuniform_row_lengthExample: The following ragged tensors are equivalent, and all represent thenested list [[3, 1, 4, 1], [], [5, 9, 2], [6], []].values = [3, 1, 4, 1, 5, 9, 2, 6]RaggedTensor.from_row_splits(values, row_splits=[0, 4, 4, 7, 8, 8])<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>RaggedTensor.from_row_lengths(values, row_lengths=[4, 0, 3, 1, 0])<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>RaggedTensor.from_value_rowids(    values, value_rowids=[0, 0, 0, 0, 2, 2, 2, 3], nrows=5)<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>RaggedTensor.from_row_starts(values, row_starts=[0, 4, 4, 7, 8])<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>RaggedTensor.from_row_limits(values, row_limits=[4, 4, 7, 8, 8])<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>RaggedTensor.from_uniform_row_length(values, uniform_row_length=2)<tf.RaggedTensor [[3, 1], [4, 1], [5, 9], [2, 6]]>Multiple Ragged DimensionsRaggedTensors with multiple ragged dimensions can be defined by usinga nested RaggedTensor for the values tensor.  Each nested RaggedTensoradds a single ragged dimension.inner_rt = RaggedTensor.from_row_splits(  # =rt1 from above    values=[3, 1, 4, 1, 5, 9, 2, 6], row_splits=[0, 4, 4, 7, 8, 8])outer_rt = RaggedTensor.from_row_splits(    values=inner_rt, row_splits=[0, 3, 3, 5])print(outer_rt.to_list())[[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]]print(outer_rt.ragged_rank)2The factory function RaggedTensor.from_nested_row_splits may be used toconstruct a RaggedTensor with multiple ragged dimensions directly, byproviding a list of row_splits tensors:RaggedTensor.from_nested_row_splits(    flat_values=[3, 1, 4, 1, 5, 9, 2, 6],    nested_row_splits=([0, 3, 3, 5], [0, 4, 4, 7, 8, 8])).to_list()[[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]]Uniform Inner DimensionsRaggedTensors with uniform inner dimensions can be definedby using a multidimensional Tensor for values.rt = RaggedTensor.from_row_splits(values=tf.ones([5, 3], tf.int32),                                  row_splits=[0, 2, 5])print(rt.to_list())[[[1, 1, 1], [1, 1, 1]], [[1, 1, 1], [1, 1, 1], [1, 1, 1]]]print(rt.shape)(2, None, 3)Uniform Outer DimensionsRaggedTensors with uniform outer dimensions can be defined by usingone or more RaggedTensor with a uniform_row_length row-partitioningtensor.  For example, a RaggedTensor with shape [2, 2, None] can beconstructed with this method from a RaggedTensor values with shape[4, None]:values = tf.ragged.constant([[1, 2, 3], [4], [5, 6], [7, 8, 9, 10]])print(values.shape)(4, None)rt6 = tf.RaggedTensor.from_uniform_row_length(values, 2)print(rt6)<tf.RaggedTensor [[[1, 2, 3], [4]], [[5, 6], [7, 8, 9, 10]]]>print(rt6.shape)(2, 2, None)Note that rt6 only contains one ragged dimension (the innermostdimension). In contrast, if from_row_splits is used to construct a similarRaggedTensor, then that RaggedTensor will have two ragged dimensions:rt7 = tf.RaggedTensor.from_row_splits(values, [0, 2, 4])print(rt7.shape)(2, None, None)Uniform and ragged outer dimensions may be interleaved, meaning that atensor with any combination of ragged and uniform dimensions may be created.For example, a RaggedTensor t4 with shape [3, None, 4, 8, None, 2] couldbe constructed as follows:t0 = tf.zeros([1000, 2])                           # Shape:         [1000, 2]t1 = RaggedTensor.from_row_lengths(t0, [...])      #           [160, None, 2]t2 = RaggedTensor.from_uniform_row_length(t1, 8)   #         [20, 8, None, 2]t3 = RaggedTensor.from_uniform_row_length(t2, 4)   #       [5, 4, 8, None, 2]t4 = RaggedTensor.from_row_lengths(t3, [...])      # [3, None, 4, 8, None, 2]Concretely, if rt.values is a Tensor, then rt.flat_values isrt.values; otherwise, rt.flat_values is rt.values.flat_values.Conceptually, flat_values is the tensor formed by flattening theoutermost dimension and all of the ragged dimensions into a singledimension.rt.flat_values.shape = [nvals] + rt.shape[rt.ragged_rank + 1:](where nvals is the number of items in the flattened dimensions).Example:rt = tf.ragged.constant([[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]])print(rt.flat_values)tf.Tensor([3 1 4 1 5 9 2 6], shape=(8,), dtype=int32)rt.nested_row_splits is a tuple containing the row_splits tensors forall ragged dimensions in rt, ordered from outermost to innermost.  Inparticular, rt.nested_row_splits = (rt.row_splits,) + value_splits where:* `value_splits = ()` if `rt.values` is a `Tensor`.* `value_splits = rt.values.nested_row_splits` otherwise.Example:rt = tf.ragged.constant(    [[[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]]])for i, splits in enumerate(rt.nested_row_splits):  print('Splits for dimension %d: %s' % (i+1, splits.numpy()))Splits for dimension 1: [0 3]Splits for dimension 2: [0 3 3 5]Splits for dimension 3: [0 4 4 7 8 8]values = tf.ragged.constant([[1, 2, 3], [4], [5, 6], [7, 8, 9, 10]])values.ragged_rank1rt = tf.RaggedTensor.from_uniform_row_length(values, 2)rt.ragged_rank2rt.row_splits specifies where the values for each row begin and end inrt.values.  In particular, the values for row rt[i] are stored inthe slice rt.values[rt.row_splits[i]:rt.row_splits[i+1]].Example:rt = tf.ragged.constant([[3, 1, 4, 1], [], [5, 9, 2], [6], []])print(rt.row_splits)  # indices of row splits in rt.valuestf.Tensor([0 4 4 7 8 8], shape=(6,), dtype=int64)tf.ragged.constant([[0], [1, 2]]).shapeTensorShape([2, None])tf.ragged.constant([[[0, 1]], [[1, 2], [3, 4]]], ragged_rank=1).shapeTensorShape([2, None, 2])rt1 = tf.ragged.constant([[1, 2, 3], [4], [5, 6], [7, 8, 9, 10]])print(rt1.uniform_row_length)  # rows are ragged.Nonert2 = tf.RaggedTensor.from_uniform_row_length(    values=rt1, uniform_row_length=2)print(rt2)<tf.RaggedTensor [[[1, 2, 3], [4]], [[5, 6], [7, 8, 9, 10]]]>print(rt2.uniform_row_length)  # rows are not ragged (all have size 2).tf.Tensor(2, shape=(), dtype=int64)A RaggedTensor's rows are only considered to be uniform (i.e. non-ragged)if it can be determined statically (at graph construction time) that therows all have the same length.rt.values is a potentially ragged tensor formed by flattening the twooutermost dimensions of rt into a single dimension.rt.values.shape = [nvals] + rt.shape[2:] (where nvals is thenumber of items in the outer two dimensions of rt).rt.ragged_rank = self.ragged_rank - 1Example:rt = tf.ragged.constant([[3, 1, 4, 1], [], [5, 9, 2], [6], []])print(rt.values)tf.Tensor([3 1 4 1 5 9 2 6], shape=(8,), dtype=int32)Methodsbounding_shapeView sourcebounding_shape(    axis=None, name=None, out_type=None)Returns the tight bounding box shape for this RaggedTensor.Example:rt = tf.ragged.constant([[1, 2, 3, 4], [5], [], [6, 7, 8, 9], [10]])rt.bounding_shape().numpy()array([5, 4])consumersView sourceconsumers()from_nested_row_lengthsView source@classmethodfrom_nested_row_lengths(    flat_values, nested_row_lengths, name=None, validate=True)Creates a RaggedTensor from a nested list of row_lengths tensors.Equivalent to:result = flat_valuesfor row_lengths in reversed(nested_row_lengths):  result = from_row_lengths(result, row_lengths)from_nested_row_splitsView source@classmethodfrom_nested_row_splits(    flat_values, nested_row_splits, name=None, validate=True)Creates a RaggedTensor from a nested list of row_splits tensors.Equivalent to:result = flat_valuesfor row_splits in reversed(nested_row_splits):  result = from_row_splits(result, row_splits)from_nested_value_rowidsView source@classmethodfrom_nested_value_rowids(    flat_values,    nested_value_rowids,    nested_nrows=None,    name=None,    validate=True)Creates a RaggedTensor from a nested list of value_rowids tensors.Equivalent to:result = flat_valuesfor (rowids, nrows) in reversed(zip(nested_value_rowids, nested_nrows)):  result = from_value_rowids(result, rowids, nrows)from_row_lengthsView source@classmethodfrom_row_lengths(    values, row_lengths, name=None, validate=True)Creates a RaggedTensor with rows partitioned by row_lengths.The returned RaggedTensor corresponds with the python list defined by:result = [[values.pop(0) for i in range(length)]          for length in row_lengths]Example:print(tf.RaggedTensor.from_row_lengths(    values=[3, 1, 4, 1, 5, 9, 2, 6],    row_lengths=[4, 0, 3, 1, 0]))<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>from_row_limitsView source@classmethodfrom_row_limits(    values, row_limits, name=None, validate=True)Creates a RaggedTensor with rows partitioned by row_limits.Equivalent to: from_row_splits(values, concat([0, row_limits])).Example:print(tf.RaggedTensor.from_row_limits(    values=[3, 1, 4, 1, 5, 9, 2, 6],    row_limits=[4, 4, 7, 8, 8]))<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>from_row_splitsView source@classmethodfrom_row_splits(    values, row_splits, name=None, validate=True)Creates a RaggedTensor with rows partitioned by row_splits.The returned RaggedTensor corresponds with the python list defined by:result = [values[row_splits[i]:row_splits[i + 1]]          for i in range(len(row_splits) - 1)]Example:print(tf.RaggedTensor.from_row_splits(    values=[3, 1, 4, 1, 5, 9, 2, 6],    row_splits=[0, 4, 4, 7, 8, 8]))<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>from_row_startsView source@classmethodfrom_row_starts(    values, row_starts, name=None, validate=True)Creates a RaggedTensor with rows partitioned by row_starts.Equivalent to: from_row_splits(values, concat([row_starts, nvals])).Example:print(tf.RaggedTensor.from_row_starts(    values=[3, 1, 4, 1, 5, 9, 2, 6],    row_starts=[0, 4, 4, 7, 8]))<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>from_sparseView source@classmethodfrom_sparse(    st_input,    name=None,    row_splits_dtype=Converts a 2D tf.sparse.SparseTensor to a RaggedTensor.Each row of the output RaggedTensor will contain the explicit valuesfrom the same row in st_input.  st_input must be ragged-right.  If notit is not ragged-right, then an error will be generated.Example:indices = [[0, 0], [0, 1], [0, 2], [1, 0], [3, 0]]st = tf.sparse.SparseTensor(indices=indices,                            values=[1, 2, 3, 4, 5],                            dense_shape=[4, 3])tf.RaggedTensor.from_sparse(st).to_list()[[1, 2, 3], [4], [], [5]]Currently, only two-dimensional SparseTensors are supported.from_tensorView source@classmethodfrom_tensor(    tensor,    lengths=None,    padding=None,    ragged_rank=1,    name=None,    row_splits_dtype=Converts a tf.Tensor into a RaggedTensor.The set of absent/default values may be specified using a vector of lengthsor a padding value (but not both).  If lengths is specified, then theoutput tensor will satisfy output[row] = tensor[row][:lengths[row]]. If'lengths' is a list of lists or tuple of lists, those lists will be usedas nested row lengths. If padding is specified, then any row suffixconsisting entirely of padding will be excluded from the returnedRaggedTensor.  If neither lengths nor padding is specified, then thereturned RaggedTensor will have no absent/default values.Examples:dt = tf.constant([[5, 7, 0], [0, 3, 0], [6, 0, 0]])tf.RaggedTensor.from_tensor(dt)<tf.RaggedTensor [[5, 7, 0], [0, 3, 0], [6, 0, 0]]>tf.RaggedTensor.from_tensor(dt, lengths=[1, 0, 3])<tf.RaggedTensor [[5], [], [6, 0, 0]]>tf.RaggedTensor.from_tensor(dt, padding=0)<tf.RaggedTensor [[5, 7], [0, 3], [6]]>dt = tf.constant([[[5, 0], [7, 0], [0, 0]],                  [[0, 0], [3, 0], [0, 0]],                  [[6, 0], [0, 0], [0, 0]]])tf.RaggedTensor.from_tensor(dt, lengths=([2, 0, 3], [1, 1, 2, 0, 1]))<tf.RaggedTensor [[[5], [7]], [], [[6, 0], [], [0]]]>from_uniform_row_lengthView source@classmethodfrom_uniform_row_length(    values, uniform_row_length, nrows=None, validate=True, name=None)Creates a RaggedTensor with rows partitioned by uniform_row_length.This method can be used to create RaggedTensors with multiple uniformouter dimensions.  For example, a RaggedTensor with shape [2, 2, None]can be constructed with this method from a RaggedTensor values with shape[4, None]:values = tf.ragged.constant([[1, 2, 3], [4], [5, 6], [7, 8, 9, 10]])print(values.shape)(4, None)rt1 = tf.RaggedTensor.from_uniform_row_length(values, 2)print(rt1)<tf.RaggedTensor [[[1, 2, 3], [4]], [[5, 6], [7, 8, 9, 10]]]>print(rt1.shape)(2, 2, None)Note that rt1 only contains one ragged dimension (the innermostdimension). In contrast, if from_row_splits is used to construct a similarRaggedTensor, then that RaggedTensor will have two ragged dimensions:rt2 = tf.RaggedTensor.from_row_splits(values, [0, 2, 4])print(rt2.shape)(2, None, None)result = [[values.pop(0) for i in range(uniform_row_length)]          for _ in range(nrows)]result.rank = values.rank + 1.result.ragged_rank = values.ragged_rank + 1.from_value_rowidsView source@classmethodfrom_value_rowids(    values, value_rowids, nrows=None, name=None, validate=True)Creates a RaggedTensor with rows partitioned by value_rowids.The returned RaggedTensor corresponds with the python list defined by:result = [[values[i] for i in range(len(values)) if value_rowids[i] == row]          for row in range(nrows)]Example:print(tf.RaggedTensor.from_value_rowids(    values=[3, 1, 4, 1, 5, 9, 2, 6],    value_rowids=[0, 0, 0, 0, 2, 2, 2, 3],    nrows=5))<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>get_shapeView sourceget_shape()The statically known shape of this ragged tensor.Alias for shape property.Examples:tf.ragged.constant([[0], [1, 2]]).get_shape()TensorShape([2, None])"
tf.RaggedTensorSpec,"tf.RaggedTensorSpec(
    shape=None,
    dtype=tf.dtypes.float32,
    ragged_rank=None,
    row_splits_dtype=tf.dtypes.int64,
    flat_values_spec=None
)
","Type specification for a tf.RaggedTensor.Inherits From: TypeSpec, TraceTypeView aliases"
tf.RegisterGradient,"tf.RegisterGradient(
    op_type
)
",A decorator for registering the gradient function for an op type.View aliases
tf.sparse.SparseTensor,"tf.sparse.SparseTensor(
    indices, values, dense_shape
)
",Represents a sparse tensor.View aliases
tf.SparseTensorSpec,"tf.SparseTensorSpec(
    shape=None,
    dtype=tf.dtypes.float32
)
","Type specification for a tf.sparse.SparseTensor.Inherits From: TypeSpec, TraceTypeView aliases"
tf.Tensor,"tf.Tensor(
    op, value_index, dtype
)
",A tf.Tensor represents a multidimensional array of elements.View aliases
tf.TensorArray,"tf.TensorArray(
    dtype,
    size=None,
    dynamic_size=None,
    clear_after_read=None,
    tensor_array_name=None,
    handle=None,
    flow=None,
    infer_shape=True,
    element_shape=None,
    colocate_with_first_write_call=True,
    name=None
)
","Class wrapping dynamic-sized, per-time-step, write-once Tensor arrays.View aliases"
tf.TensorArraySpec,"tf.TensorArraySpec(
    element_shape=None,
    dtype=tf.dtypes.float32,
    dynamic_size=False,
    infer_shape=True
)
","Type specification for a tf.TensorArray.Inherits From: TypeSpec, TraceTypeView aliases"
tf.TensorShape,"tf.TensorShape(
    dims
)
",Represents the shape of a Tensor.Inherits From: TraceTypeView aliases
tf.TensorSpec,"tf.TensorSpec(
    shape,
    dtype=tf.dtypes.float32,
    name=None
)
","Describes a tf.Tensor.Inherits From: TypeSpec, TraceTypeView aliases"
tf.Variable,"tf.Variable(
    initial_value=None,
    trainable=None,
    validate_shape=True,
    caching_device=None,
    name=None,
    variable_def=None,
    dtype=None,
    import_scope=None,
    constraint=None,
    synchronization=tf.VariableSynchronization.AUTO,
    aggregation=tf.compat.v1.VariableAggregation.NONE,
    shape=None
)
",See the variable guide.
tf.Variable.SaveSliceInfo,"tf.Variable.SaveSliceInfo(
    full_name=None,
    full_shape=None,
    var_offset=None,
    var_shape=None,
    save_slice_info_def=None,
    import_scope=None
)
",Information on how to save this Variable as a slice.View aliases
tf.math.abs,"tf.math.abs(
    x, name=None
)
",Computes the absolute value of a tensor.View aliases
tf.math.acos,"tf.math.acos(
    x, name=None
)
",Computes acos of x element-wise.View aliases
tf.math.acosh,"tf.math.acosh(
    x, name=None
)
",Computes inverse hyperbolic cosine of x element-wise.View aliases
tf.math.add,"tf.math.add(
    x, y, name=None
)
",Returns x + y element-wise.View aliases
tf.math.add_n,"tf.math.add_n(
    inputs, name=None
)
",Adds all input tensors element-wise.View aliases
tf.approx_top_k,"tf.approx_top_k(
    input,
    k,
    reduction_dimension=-1,
    recall_target=0.95,
    is_max_k=True,
    reduction_input_size_override=-1,
    aggregate_to_topk=True,
    name=None
)
",Returns min/max k values and their indices of the input operand in an approximate manner.View aliases
tf.math.argmax,"tf.math.argmax(
    input,
    axis=None,
    output_type=tf.dtypes.int64,
    name=None
)
",Returns the index with the largest value across axes of a tensor.View aliases
tf.math.argmin,"tf.math.argmin(
    input,
    axis=None,
    output_type=tf.dtypes.int64,
    name=None
)
",Returns the index with the smallest value across axes of a tensor.View aliases
tf.argsort,"tf.argsort(
    values, axis=-1, direction='ASCENDING', stable=False, name=None
)
",Returns the indices of a tensor that give its sorted order along an axis.View aliases
tf.dtypes.as_dtype,"tf.dtypes.as_dtype(
    type_value
)
",Converts the given type_value to a DType.View aliases
tf.strings.as_string,"tf.strings.as_string(
    input,
    precision=-1,
    scientific=False,
    shortest=False,
    width=-1,
    fill='',
    name=None
)
",Converts each entry in the given tensor to strings.View aliases
tf.math.asin,"tf.math.asin(
    x, name=None
)
",Computes the trignometric inverse sine of x element-wise.View aliases
tf.math.asinh,"tf.math.asinh(
    x, name=None
)
",Computes inverse hyperbolic sine of x element-wise.View aliases
tf.debugging.assert_equal,"tf.debugging.assert_equal(
    x, y, message=None, summarize=None, name=None
)
",Assert the condition x == y holds element-wise.View aliases
tf.debugging.assert_greater,"tf.debugging.assert_greater(
    x, y, message=None, summarize=None, name=None
)
",Assert the condition x > y holds element-wise.View aliases
tf.debugging.assert_less,"tf.debugging.assert_less(
    x, y, message=None, summarize=None, name=None
)
",Assert the condition x < y holds element-wise.View aliases
tf.debugging.assert_rank,"tf.debugging.assert_rank(
    x, rank, message=None, name=None
)
",Assert that x has rank equal to rank.View aliases
tf.math.atan,"tf.math.atan(
    x, name=None
)
",Computes the trignometric inverse tangent of x element-wise.View aliases
tf.math.atan2,"tf.math.atan2(
    y, x, name=None
)
","Computes arctangent of y/x element-wise, respecting signs of the arguments.View aliases"
tf.math.atanh,"tf.math.atanh(
    x, name=None
)
",Computes inverse hyperbolic tangent of x element-wise.View aliases
